================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
  务  U+52A1           70       70       +0 동일
  遁  U+9041            1        1       +0 동일
  暕  U+6695            2        2       +0 동일
  頡  U+9821            1        1       +0 동일
  例  U+4F8B           12       12       +0 동일
  昨  U+6628           14       14       +0 동일
  閔  U+9594            1        1       +0 동일
  参  U+53C2           32       32       +0 동일
  佑  U+4F51            1        1       +0 동일
  赂  U+8D42            3        3       +0 동일
  陟  U+965F            1        1       +0 동일
  于  U+4E8E          183      183       +0 동일
  煚  U+715A            2        2       +0 동일
  書  U+66F8           49       49       +0 동일
  杉  U+6749            1        1       +0 동일
  姆  U+59C6            1        1       +0 동일
  熄  U+7184            1        1       +0 동일
  堆  U+5806           17       17       +0 동일
  葛  U+845B            8        8       +0 동일
  蚧  U+86A7            4        4       +0 동일
  沮  U+6CAE            9        9       +0 동일
  宗  U+5B97           52       52       +0 동일
  恸  U+6078            1        1       +0 동일
  濂  U+6FC2            1        1       +0 동일
  岐  U+5C90            5        5       +0 동일
  剄  U+5244            1        1       +0 동일
  醵  U+91B5            2        2       +0 동일
  罔  U+7F54            2        2       +0 동일
  治  U+6CBB           42       42       +0 동일
  状  U+72B6           98       98       +0 동일
  寖  U+5BD6            1        1       +0 동일
  漆  U+6F06           14       14       +0 동일
  魇  U+9B47            1        1       +0 동일
  女  U+F981            1        1       +0 동일
  逢  U+9022           25       25       +0 동일
  峰  U+5CF0           16       16       +0 동일
  谅  U+8C05            5        5       +0 동일
  獐  U+7350            1        1       +0 동일
  鞯  U+97AF            3        3       +0 동일
  複  U+8907           43       43       +0 동일
  壓  U+58D3           19       19       +0 동일
  疆  U+7586           16       16       +0 동일
  哨  U+54E8            5        5       +0 동일
  彎  U+5F4E            1        1       +0 동일
  狂  U+72C2           15       15       +0 동일
  腠  U+8160            1        1       +0 동일
  𣴓  U+23D13           2        2       +0 동일
  厮  U+53AE            9        9       +0 동일
  塞  U+F96C            1        1       +0 동일
  蓋  U+84CB            2        2       +0 동일
  蚊  U+868A            6        6       +0 동일
  秸  U+79F8            8        8       +0 동일
  鱂  U+9C42            1        1       +0 동일
  肉  U+8089           60       60       +0 동일
  麟  U+9E9F            1        1       +0 동일
  兮  U+516E           11       11       +0 동일
  葱  U+8471            1        1       +0 동일
  副  U+526F          184      184       +0 동일
  解  U+89E3          483      483       +0 동일
  窍  U+7A8D            5        5       +0 동일
  浃  U+6D43           15       15       +0 동일
  債  U+50B5            1        1       +0 동일
  浪  U+6D6A           20       20       +0 동일
  霸  U+9738            2        2       +0 동일
  轇  U+8F47            1        1       +0 동일
  桐  U+6850            3        3       +0 동일
  皆  U+7686           28       28       +0 동일
  窌  U+7A8C            2        2       +0 동일
  崎  U+5D0E            2        2       +0 동일
  饑  U+9951            1        1       +0 동일
  蓄  U+84C4           12       12       +0 동일
  版  U+7248           19       19       +0 동일
  壊  U+58CA            1        1       +0 동일
  衣  U+8863           84       84       +0 동일
  龐  U+9F90            1        1       +0 동일
  庫  U+5EAB            2        2       +0 동일
  犰  U+72B0            1        1       +0 동일
  屍  U+5C4D            1        1       +0 동일
  像  U+50CF           55       55       +0 동일
  厅  U+5385            8        8       +0 동일
  粤  U+7CA4            1        1       +0 동일
  佚  U+4F5A            6        6       +0 동일
  蟾  U+87FE            1        1       +0 동일
  鶺  U+9DBA            1        1       +0 동일
  烟  U+70DF           25       25       +0 동일
  斟  U+659F            1        1       +0 동일
  糕  U+7CD5            6        6       +0 동일
  瓶  U+74F6           18       18       +0 동일
  蠼  U+883C            5        5       +0 동일
  瘠  U+7620            8        8       +0 동일
  呼  U+547C           29       29       +0 동일
  颇  U+9887           11       11       +0 동일
  颠  U+98A0            3        3       +0 동일
  现  U+73B0           94       94       +0 동일
  唢  U+5522            1        1       +0 동일
  逮  U+902E            1        1       +0 동일
  阑  U+9611            1        1       +0 동일
  粪  U+7CAA            3        3       +0 동일
  𥘌  U+2560C           3        3       +0 동일
  意  U+610F          112      112       +0 동일
  疟  U+759F            1        1       +0 동일
  長  U+9577           21       21       +0 동일
  浮  U+6D6E           19       19       +0 동일
  砌  U+780C            1        1       +0 동일
  挈  U+6308            1        1       +0 동일
  诲  U+8BF2            3        3       +0 동일
  绡  U+7EE1            1        1       +0 동일
  儁  U+5101            1        1       +0 동일
  辭  U+8FAD            3        3       +0 동일
  卦  U+5366            2        2       +0 동일
  明  U+660E          204      204       +0 동일
  遗  U+9057           33       33       +0 동일
  淺  U+6DFA            2        2       +0 동일
  殁  U+6B81            1        1       +0 동일
  趟  U+8D9F            4        4       +0 동일
  妍  U+598D            3        3       +0 동일
  之  U+4E4B          400      400       +0 동일
  树  U+6811           60       60       +0 동일
  拆  U+62C6            1        1       +0 동일
  漬  U+6F2C            3        3       +0 동일
  婉  U+5A49            3        3       +0 동일
  鈺  U+923A            1        1       +0 동일
  给  U+7ED9          105      105       +0 동일
  温  U+6E29           28       28       +0 동일
  顶  U+9876           30       30       +0 동일
  驰  U+9A70            8        8       +0 동일
  搞  U+641E            6        6       +0 동일
  骄  U+9A84           65       65       +0 동일
  侻  U+4FBB            2        2       +0 동일
  泃  U+6CC3            2        2       +0 동일
  两  U+4E24          152      152       +0 동일
  鲉  U+9C89            2        2       +0 동일
  級  U+7D1A            8        8       +0 동일
  嘏  U+560F            3        3       +0 동일
  牖  U+7256            1        1       +0 동일
  腊  U+814A            3        3       +0 동일
  履  U+5C65           13       13       +0 동일
  弯  U+5F2F            6        6       +0 동일
  早  U+65E9           39       39       +0 동일
  努  U+52AA           11       11       +0 동일
  坊  U+574A           16       16       +0 동일
  裁  U+88C1            8        8       +0 동일
  懒  U+61D2            3        3       +0 동일
  贝  U+8D1D            5        5       +0 동일
  嘰  U+5630            1        1       +0 동일
  胱  U+80F1            5        5       +0 동일
  魂  U+9B42           19       19       +0 동일
  羯  U+7FAF           12       12       +0 동일
  豭  U+8C6D            3        3       +0 동일
  肘  U+8098            1        1       +0 동일
  蜍  U+870D            1        1       +0 동일
  埠  U+57E0            1        1       +0 동일
  灌  U+704C           12       12       +0 동일
  祸  U+7978           13       13       +0 동일
  赖  U+8D56           11       11       +0 동일
  圻  U+573B            1        1       +0 동일
  仗  U+4ED7            8        8       +0 동일
  惦  U+60E6            1        1       +0 동일
  交  U+4EA4          516      516       +0 동일
  毕  U+6BD5           14       14       +0 동일
  斜  U+659C           11       11       +0 동일
  追  U+8FFD           14       14       +0 동일
  暴  U+66B4           21       21       +0 동일
  凫  U+51EB            1        1       +0 동일
  槛  U+69DB            3        3       +0 동일
  娩  U+5A29            2        2       +0 동일
  恕  U+6055            2        2       +0 동일
  勵  U+52F5            5        5       +0 동일
  海  U+6D77          123      123       +0 동일
  犹  U+72B9           10       10       +0 동일
  象  U+8C61           40       40       +0 동일
  横  U+6A2A           18       18       +0 동일
  北  U+5317           88       88       +0 동일
  璟  U+749F            3        3       +0 동일
  哪  U+54EA           19       19       +0 동일
  換  U+63DB           16       16       +0 동일
  爐  U+7210           12       12       +0 동일
  雁  U+96C1            5        5       +0 동일
  紺  U+7D3A            1        1       +0 동일
  塔  U+5854           31       31       +0 동일
  桕  U+6855            3        3       +0 동일
  償  U+511F            3        3       +0 동일
  逈  U+9008            1        1       +0 동일
  飢  U+98E2            2        2       +0 동일
  勥  U+52E5            1        1       +0 동일
  凉  U+51C9            7        7       +0 동일
  風  U+98A8           15       15       +0 동일
  貝  U+8C9D            5        5       +0 동일
  因  U+56E0           53       53       +0 동일
  默  U+9ED8           15       15       +0 동일
  甸  U+7538            3        3       +0 동일
  琚  U+741A            2        2       +0 동일
  氣  U+6C23           45       45       +0 동일
  兄  U+5144           17       17       +0 동일
  液  U+6DB2           43       43       +0 동일
  建  U+5EFA          181      181       +0 동일
  與  U+8207            1        1       +0 동일
  妈  U+5988           14       14       +0 동일
  炬  U+70AC            4        4       +0 동일
  哩  U+54E9            2        2       +0 동일
  縷  U+7E37            1        1       +0 동일
  盡  U+76E1            1        1       +0 동일
  侯  U+4FAF           15       15       +0 동일
  紅  U+7D05            7        7       +0 동일
  崛  U+5D1B            4        4       +0 동일
  挟  U+631F            4        4       +0 동일
  捐  U+6350           24       24       +0 동일
  骚  U+9A9A            2        2       +0 동일
  鍵  U+9375            9        9       +0 동일
  傾  U+50BE            1        1       +0 동일
  滑  U+F904            1        1       +0 동일
  怖  U+6016            3        3       +0 동일
  畝  U+755D            1        1       +0 동일
  哥  U+54E5           12       12       +0 동일
  伽  U+4F3D           15       15       +0 동일
  媚  U+5A9A            2        2       +0 동일
  翼  U+7FFC           17       17       +0 동일
  翁  U+7FC1            4        4       +0 동일
  徑  U+5F91            5        5       +0 동일
  皲  U+76B2            5        5       +0 동일
  賣  U+8CE3            2        2       +0 동일
  讖  U+8B96            1        1       +0 동일
  笛  U+7B1B            6        6       +0 동일
  评  U+8BC4           12       12       +0 동일
  组  U+7EC4           41       41       +0 동일
  乩  U+4E69            3        3       +0 동일
  靑  U+9751            6        6       +0 동일
  醌  U+918C            2        2       +0 동일
  屆  U+5C46            2        2       +0 동일
  鑄  U+9444            6        6       +0 동일
  缡  U+7F21            1        1       +0 동일
  驅  U+9A45            2        2       +0 동일
  鐧  U+9427            2        2       +0 동일
  鞘  U+9798           10       10       +0 동일
  門  U+9580           15       15       +0 동일
  拿  U+62FF           28       28       +0 동일
  芜  U+829C            1        1       +0 동일
  質  U+8CEA           63       63       +0 동일
  智  U+667A           25       25       +0 동일
  赛  U+8D5B           47       47       +0 동일
  桥  U+6865          293      293       +0 동일
  栏  U+680F            5        5       +0 동일
  淀  U+6DC0            5        5       +0 동일
  厥  U+53A5            6        6       +0 동일
  懂  U+61C2           13       13       +0 동일
  访  U+8BBF           10       10       +0 동일
  陸  U+F9D3            1        1       +0 동일
  抓  U+6293           19       19       +0 동일
  真  U+771F          105      105       +0 동일
  卫  U+536B           25       25       +0 동일
  藓  U+85D3            2        2       +0 동일
  汲  U+6C72           13       13       +0 동일
  讥  U+8BA5           17       17       +0 동일
  没  U+6CA1          128      128       +0 동일
  貿  U+8CBF            2        2       +0 동일
  唐  U+5510           31       31       +0 동일
  吵  U+5435           11       11       +0 동일
  皙  U+7699            1        1       +0 동일
  癭  U+766D            1        1       +0 동일
  鐍  U+940D            1        1       +0 동일
  俑  U+4FD1            3        3       +0 동일
  皇  U+7687           20       20       +0 동일
  葰  U+8470            2        2       +0 동일
  囡  U+56E1            1        1       +0 동일
  肪  U+80AA            6        6       +0 동일
  寒  U+5BD2           47       47       +0 동일
  疾  U+75BE           79       79       +0 동일
  虬  U+866C            1        1       +0 동일
  孽  U+5B7D            2        2       +0 동일
  颢  U+98A2            1        1       +0 동일
  業  U+696D           11       11       +0 동일
  棚  U+68DA            2        2       +0 동일
  莒  U+8392            4        4       +0 동일
  兰  U+5170           23       23       +0 동일
  褚  U+891A            2        2       +0 동일
  痪  U+75EA            1        1       +0 동일
  麓  U+9E93            2        2       +0 동일
  俍  U+4FCD            2        2       +0 동일
  榛  U+699B            1        1       +0 동일
  勝  U+52DD            1        1       +0 동일
  否  U+5426           13       13       +0 동일
  窩  U+7AA9            3        3       +0 동일
  跄  U+8DC4            3        3       +0 동일
  怕  U+6015           34       34       +0 동일
  曾  U+66FE           12       12       +0 동일
  醇  U+9187           17       17       +0 동일
  恐  U+6050           20       20       +0 동일
  秬  U+79EC            2        2       +0 동일
  赀  U+8D40            2        2       +0 동일
  選  U+9078            4        4       +0 동일
  毂  U+6BC2            5        5       +0 동일
  碰  U+78B0            5        5       +0 동일
  狱  U+72F1           10       10       +0 동일
  詞  U+8A5E            5        5       +0 동일
  俟  U+4FDF            2        2       +0 동일
  卿  U+537F            9        9       +0 동일
  曝  U+66DD            3        3       +0 동일
  乔  U+4E54            2        2       +0 동일
  恒  U+6052            5        5       +0 동일
  炯  U+70AF            9        9       +0 동일
  洼  U+6D3C            1        1       +0 동일
  孝  U+5B5D           16       16       +0 동일
  給  U+7D66           10       10       +0 동일
  纏  U+7E8F            1        1       +0 동일
  箇  U+7B87            1        1       +0 동일
  驕  U+9A55            1        1       +0 동일
  呱  U+5471            3        3       +0 동일
  姬  U+59EC            5        5       +0 동일
  蔾  U+853E            2        2       +0 동일
  謝  U+8B1D            2        2       +0 동일
  蕾  U+857E            3        3       +0 동일
  迂  U+8FC2            2        2       +0 동일
  裂  U+F9A0            2        2       +0 동일
  藎  U+85CE            1        1       +0 동일
  个  U+4E2A          348      348       +0 동일
  讽  U+8BBD            7        7       +0 동일
  齡  U+9F61            1        1       +0 동일
  南  U+5357           68       68       +0 동일
  牌  U+724C           24       24       +0 동일
  燼  U+71FC            1        1       +0 동일
  阻  U+963B           24       24       +0 동일
  值  U+503C           40       40       +0 동일
  肚  U+809A            7        7       +0 동일
  仙  U+4ED9           17       17       +0 동일
  脛  U+811B            2        2       +0 동일
  滋  U+6ECB            6        6       +0 동일
  熔  U+7194            5        5       +0 동일
  綱  U+7DB1            2        2       +0 동일
  拍  U+62CD           26       26       +0 동일
  査  U+67FB            5        5       +0 동일
  噪  U+566A           17       17       +0 동일
  偿  U+507F            8        8       +0 동일
  烤  U+70E4            3        3       +0 동일
  雉  U+96C9            4        4       +0 동일
  骅  U+9A85            1        1       +0 동일
  叱  U+53F1            1        1       +0 동일
  腒  U+8152            2        2       +0 동일
  正  U+6B63          121      121       +0 동일
  旺  U+65FA            8        8       +0 동일
  声  U+58F0          132      132       +0 동일
  魄  U+9B44            8        8       +0 동일
  模  U+6A21           31       31       +0 동일
  兵  U+5175           72       72       +0 동일
  婪  U+5A6A            1        1       +0 동일
  鍊  U+F99B            2        2       +0 동일
  焕  U+7115            3        3       +0 동일
  觭  U+89ED            2        2       +0 동일
  息  U+606F          107      107       +0 동일
  劒  U+5292            1        1       +0 동일
  鳄  U+9CC4            2        2       +0 동일
  袄  U+8884            1        1       +0 동일
  裤  U+88E4            5        5       +0 동일
  曩  U+66E9            1        1       +0 동일
  根  U+6839           65       65       +0 동일
  增  U+589E           42       42       +0 동일
  潘  U+6F58            2        2       +0 동일
  曹  U+66F9           22       22       +0 동일
  氯  U+6C2F            3        3       +0 동일
  鲮  U+9CAE            1        1       +0 동일
  嗟  U+55DF           16       16       +0 동일
  蛐  U+86D0            2        2       +0 동일
  笕  U+7B15            3        3       +0 동일
  緝  U+7DDD            1        1       +0 동일
  黍  U+9ECD            2        2       +0 동일
  擴  U+64F4            6        6       +0 동일
  甭  U+752D            1        1       +0 동일
  縫  U+7E2B            4        4       +0 동일
  鞍  U+978D            2        2       +0 동일
  过  U+8FC7          172      172       +0 동일
  細  U+7D30           35       35       +0 동일
  编  U+7F16           15       15       +0 동일
  敝  U+655D            2        2       +0 동일
  卯  U+536F            3        3       +0 동일
  蠲  U+8832            4        4       +0 동일
  壅  U+58C5            1        1       +0 동일
  絶  U+7D76           10       10       +0 동일
  鉏  U+924F            1        1       +0 동일
  尿  U+F9BD            1        1       +0 동일
  茴  U+8334            1        1       +0 동일
  磬  U+78EC            3        3       +0 동일
  汪  U+6C6A            2        2       +0 동일
  禁  U+7981          119      119       +0 동일
  簧  U+7C27            5        5       +0 동일
  箍  U+7B8D            7        7       +0 동일
  慌  U+614C            8        8       +0 동일
  盼  U+76FC            4        4       +0 동일
  恣  U+6063            3        3       +0 동일
  弘  U+5F18            3        3       +0 동일
  溲  U+6EB2            1        1       +0 동일
  俣  U+4FE3            3        3       +0 동일
  芘  U+8298            1        1       +0 동일
  夸  U+5938            6        6       +0 동일
  枝  U+679D           35       35       +0 동일
  倨  U+5028            4        4       +0 동일
  離  U+96E2           19       19       +0 동일
  臂  U+81C2           13       13       +0 동일
  黨  U+9EE8            5        5       +0 동일
  硅  U+7845            9        9       +0 동일
  缴  U+7F34           39       39       +0 동일
  秧  U+79E7            6        6       +0 동일
  佳  U+4F73           74       74       +0 동일
  钿  U+94BF            2        2       +0 동일
  诺  U+8BFA           14       14       +0 동일
  晴  U+6674            2        2       +0 동일
  咏  U+548F            3        3       +0 동일
  琳  U+7433            1        1       +0 동일
  吗  U+5417           10       10       +0 동일
  麇  U+9E87            2        2       +0 동일
  颤  U+98A4            3        3       +0 동일
  終  U+7D42            3        3       +0 동일
  浇  U+6D47           57       57       +0 동일
  慕  U+6155            9        9       +0 동일
  窭  U+7AAD            2        2       +0 동일
  蟣  U+87E3            1        1       +0 동일
  器  U+5668          392      392       +0 동일
  碇  U+7887            3        3       +0 동일
  呀  U+5440           12       12       +0 동일
  乡  U+4E61           44       44       +0 동일
  俔  U+4FD4            2        2       +0 동일
  殡  U+6BA1            1        1       +0 동일
  欌  U+6B0C            2        2       +0 동일
  聖  U+8056            2        2       +0 동일
  跼  U+8DFC            7        7       +0 동일
  枧  U+67A7            2        2       +0 동일
  依  U+4F9D           13       13       +0 동일
  續  U+7E8C           12       12       +0 동일
  页  U+9875            4        4       +0 동일
  憎  U+618E            4        4       +0 동일
  署  U+7F72            7        7       +0 동일
  炕  U+7095            2        2       +0 동일
  条  U+6761           64       64       +0 동일
  試  U+8A66           17       17       +0 동일
  搭  U+642D           12       12       +0 동일
  杜  U+675C           12       12       +0 동일
  幢  U+5E62            2        2       +0 동일
  商  U+5546           65       65       +0 동일
  财  U+8D22           33       33       +0 동일
  群  U+7FA4           83       83       +0 동일
  柝  U+67DD            2        2       +0 동일
  檬  U+6AAC            1        1       +0 동일
  晨  U+6668            6        6       +0 동일
  勤  U+52E4            9        9       +0 동일
  剿  U+527F           14       14       +0 동일
  酒  U+9152          266      266       +0 동일
  濺  U+6FFA            1        1       +0 동일
  欠  U+6B20            9        9       +0 동일
  菰  U+83F0            1        1       +0 동일
  窶  U+7AB6            1        1       +0 동일
  炎  U+708E           90       90       +0 동일
  罚  U+7F5A           11       11       +0 동일
  瓣  U+74E3            6        6       +0 동일
  兩  U+5169            5        5       +0 동일
  章  U+7AE0           60       60       +0 동일
  妥  U+59A5            4        4       +0 동일
  蟹  U+87F9            7        7       +0 동일
  雳  U+96F3            1        1       +0 동일
  痢  U+75E2            5        5       +0 동일
  磋  U+78CB            1        1       +0 동일
  響  U+97FF            2        2       +0 동일
  舆  U+8206            5        5       +0 동일
  耀  U+8000            1        1       +0 동일
  幾  U+5E7E            6        6       +0 동일
  周  U+5468           63       63       +0 동일
  藻  U+85FB           19       19       +0 동일
  殺  U+6BBA            2        2       +0 동일
  笄  U+7B04            9        9       +0 동일
  哈  U+54C8            3        3       +0 동일
  诃  U+8BC3            1        1       +0 동일
  倚  U+501A            1        1       +0 동일
  此  U+6B64           73       73       +0 동일
  掺  U+63BA            1        1       +0 동일
  蟠  U+87E0            2        2       +0 동일
  队  U+961F           67       67       +0 동일
  煙  U+7159            2        2       +0 동일
  蔡  U+8521            3        3       +0 동일
  茶  U+8336           25       25       +0 동일
  趑  U+8D91            1        1       +0 동일
  蜀  U+8700            8        8       +0 동일
  猄  U+7304            3        3       +0 동일
  塗  U+5857            1        1       +0 동일
  席  U+5E2D           28       28       +0 동일
  续  U+7EED           26       26       +0 동일
  军  U+519B          301      301       +0 동일
  源  U+6E90           28       28       +0 동일
  鎭  U+93AD            7        7       +0 동일
  龃  U+9F83            5        5       +0 동일
  绳  U+7EF3           23       23       +0 동일
  歼  U+6B7C           12       12       +0 동일
  停  U+505C           20       20       +0 동일
  値  U+5024            4        4       +0 동일
  塾  U+587E            5        5       +0 동일
  掣  U+63A3            1        1       +0 동일
  答  U+7B54           22       22       +0 동일
  喉  U+5589            9        9       +0 동일
  丝  U+4E1D           54       54       +0 동일
  缅  U+7F05            1        1       +0 동일
  斗  U+6597           60       60       +0 동일
  莱  U+83B1            2        2       +0 동일
  戊  U+620A            3        3       +0 동일
  恩  U+6069           18       18       +0 동일
  奶  U+5976           19       19       +0 동일
  持  U+6301           50       50       +0 동일
  奔  U+5954            8        8       +0 동일
  肿  U+80BF           16       16       +0 동일
  繭  U+7E6D            1        1       +0 동일
  語  U+8A9E           24       24       +0 동일
  相  U+76F8          162      162       +0 동일
  馒  U+9992            6        6       +0 동일
  楷  U+6977            2        2       +0 동일
  四  U+56DB           81       81       +0 동일
  妹  U+59B9           11       11       +0 동일
  珧  U+73E7            2        2       +0 동일
  睛  U+775B           17       17       +0 동일
  饰  U+9970           19       19       +0 동일
  軍  U+8ECD           33       33       +0 동일
  屋  U+5C4B           46       46       +0 동일
  貂  U+8C82            1        1       +0 동일
  赁  U+8D41            1        1       +0 동일
  舸  U+8238            1        1       +0 동일
  疙  U+7599            6        6       +0 동일
  振  U+632F           38       38       +0 동일
  罥  U+7F65            2        2       +0 동일
  軸  U+8EF8           10       10       +0 동일
  酮  U+916E           11       11       +0 동일
  誅  U+8A85            1        1       +0 동일
  滅  U+6EC5            4        4       +0 동일
  帘  U+5E18            6        6       +0 동일
  燻  U+71FB            1        1       +0 동일
  蒟  U+849F            6        6       +0 동일
  晙  U+6659            2        2       +0 동일
  祐  U+7950            2        2       +0 동일
  间  U+95F4          256      256       +0 동일
  透  U+900F           16       16       +0 동일
  殷  U+6BB7            1        1       +0 동일
  几  U+51E0          149      149       +0 동일
  镰  U+9570            2        2       +0 동일
  囝  U+56DD            2        2       +0 동일
  醮  U+91AE            2        2       +0 동일
  罝  U+7F5D            2        2       +0 동일
  凿  U+51FF            5        5       +0 동일
  骋  U+9A8B            1        1       +0 동일
  酷  U+9177            2        2       +0 동일
  樛  U+6A1B            2        2       +0 동일
  瘿  U+763F            3        3       +0 동일
  偏  U+504F           31       31       +0 동일
  叭  U+53ED            1        1       +0 동일
  烫  U+70EB            1        1       +0 동일
  苨  U+82E8            2        2       +0 동일
  瑤  U+7464           32       32       +0 동일
  案  U+6848           42       42       +0 동일
  視  U+8996            8        8       +0 동일
  茱  U+8331            1        1       +0 동일
  桶  U+6876            4        4       +0 동일
  冤  U+51A4            7        7       +0 동일
  刘  U+5218           11       11       +0 동일
  輛  U+8F1B            1        1       +0 동일
  頂  U+9802            5        5       +0 동일
  见  U+89C1          301      301       +0 동일
  屉  U+5C49            1        1       +0 동일
  稍  U+7A0D           11       11       +0 동일
  穆  U+7A46            4        4       +0 동일
  钁  U+9481            1        1       +0 동일
  苗  U+82D7           14       14       +0 동일
  逆  U+9006           13       13       +0 동일
  绘  U+7ED8            3        3       +0 동일
  槚  U+69DA            3        3       +0 동일
  汫  U+6C6B            2        2       +0 동일
  生  U+751F          498      498       +0 동일
  饯  U+996F            6        6       +0 동일
  砍  U+780D            3        3       +0 동일
  綿  U+7DBF            4        4       +0 동일
  設  U+8A2D            3        3       +0 동일
  記  U+8A18           14       14       +0 동일
  扯  U+626F            3        3       +0 동일
  殒  U+6B92            1        1       +0 동일
  琅  U+7405            1        1       +0 동일
  鳳  U+9CF3            1        1       +0 동일
  孚  U+5B5A            1        1       +0 동일
  瘍  U+760D            3        3       +0 동일
  鬪  U+9B2A            1        1       +0 동일
  劍  U+528D            6        6       +0 동일
  失  U+5931           77       77       +0 동일
  距  U+8DDD           34       34       +0 동일
  徼  U+5FBC            7        7       +0 동일
  伲  U+4F32            3        3       +0 동일
  雞  U+96DE            1        1       +0 동일
  诱  U+8BF1            8        8       +0 동일
  票  U+7968           48       48       +0 동일
  袁  U+8881            2        2       +0 동일
  菾  U+83FE            1        1       +0 동일
  只  U+53EA          107      107       +0 동일
  鵑  U+9D51            1        1       +0 동일
  缭  U+7F2D            2        2       +0 동일
  鏡  U+93E1            7        7       +0 동일
  畸  U+7578           27       27       +0 동일
  瓷  U+74F7           11       11       +0 동일
  离  U+79BB           48       48       +0 동일
  涉  U+6D89            8        8       +0 동일
  伍  U+4F0D            7        7       +0 동일
  岌  U+5C8C            7        7       +0 동일
  筏  U+7B4F            2        2       +0 동일
  燃  U+71C3           17       17       +0 동일
  離  U+F9EA            2        2       +0 동일
  橡  U+6A61            6        6       +0 동일
  伪  U+4F2A            9        9       +0 동일
  珊  U+73CA            5        5       +0 동일
  雏  U+96CF            7        7       +0 동일
  秋  U+79CB           41       41       +0 동일
  裌  U+88CC            1        1       +0 동일
  濾  U+6FFE            2        2       +0 동일
  利  U+5229           80       80       +0 동일
  甲  U+7532          208      208       +0 동일
  取  U+53D6           60       60       +0 동일
  钙  U+9499            8        8       +0 동일
  懸  U+61F8            3        3       +0 동일
  畏  U+754F            5        5       +0 동일
  漠  U+6F20          278      278       +0 동일
  抹  U+62B9            2        2       +0 동일
  梢  U+68A2            1        1       +0 동일
  纾  U+7EBE            1        1       +0 동일
  薄  U+8584           31       31       +0 동일
  朗  U+6717            4        4       +0 동일
  征  U+5F81           21       21       +0 동일
  鬋  U+9B0B            2        2       +0 동일
  甚  U+751A           15       15       +0 동일
  钊  U+948A            2        2       +0 동일
  子  U+5B50          811      811       +0 동일
  柑  U+67D1            6        6       +0 동일
  冕  U+5195            2        2       +0 동일
  訐  U+8A10            1        1       +0 동일
  谨  U+8C28           24       24       +0 동일
  氟  U+6C1F            2        2       +0 동일
  携  U+643A            6        6       +0 동일
  歷  U+F98C            1        1       +0 동일
  掎  U+638E            4        4       +0 동일
  颂  U+9882            1        1       +0 동일
  勼  U+52FC            2        2       +0 동일
  晒  U+6652            2        2       +0 동일
  困  U+56F0           49       49       +0 동일
  鲀  U+9C80            1        1       +0 동일
  血  U+8840           71       71       +0 동일
  腹  U+8179           27       27       +0 동일
  螨  U+87A8            4        4       +0 동일
  碑  U+7891            6        6       +0 동일
  咪  U+54AA            2        2       +0 동일
  诤  U+8BE4            2        2       +0 동일
  茸  U+8338            1        1       +0 동일
  驾  U+9A7E           42       42       +0 동일
  捡  U+6361           17       17       +0 동일
  斝  U+659D            2        2       +0 동일
  茕  U+8315            2        2       +0 동일
  莢  U+83A2            2        2       +0 동일
  緃  U+7DC3            1        1       +0 동일
  地  U+5730          473      473       +0 동일
  惕  U+60D5            2        2       +0 동일
  鄄  U+9104            2        2       +0 동일
  孤  U+5B64           14       14       +0 동일
  目  U+76EE          107      107       +0 동일
  馏  U+998F            7        7       +0 동일
  巳  U+5DF3            2        2       +0 동일
  客  U+5BA2           44       44       +0 동일
  雲  U+96F2            9        9       +0 동일
  践  U+8DF5           25       25       +0 동일
  杀  U+6740           28       28       +0 동일
  该  U+8BE5           39       39       +0 동일
  啤  U+5564            5        5       +0 동일
  浹  U+6D79            2        2       +0 동일
  颈  U+9888           62       62       +0 동일
  诛  U+8BDB            1        1       +0 동일
  忽  U+5FFD            5        5       +0 동일
  类  U+7C7B           25       25       +0 동일
  脈  U+8108           28       28       +0 동일
  叶  U+53F6           49       49       +0 동일
  臻  U+81FB            3        3       +0 동일
  报  U+62A5           72       72       +0 동일
  劣  U+52A3            6        6       +0 동일
  纸  U+7EB8           43       43       +0 동일
  菠  U+83E0            2        2       +0 동일
  特  U+7279           44       44       +0 동일
  雠  U+96E0            2        2       +0 동일
  緩  U+7DE9            8        8       +0 동일
  雙  U+96D9            4        4       +0 동일
  烈  U+F99F            1        1       +0 동일
